Category,Commitment,Party,Status,Updated,Due,References,Tags,LobbyFor,LobbyAgainst,Notes
Economy,Lower inflation and grow the economy to ease the cost of living and create better paying jobs.,"NZ First, National",25,24/06/2026,,https://www.rnz.co.nz/news/business/inflation-steady-at-3-1-percent-in-first-three-months-of-2026,,,,"Annual inflation at 3.1% in March 2026 (down from 7.3% peak), still above RBNZ 1-3% target. Economy avoiding recession but 'rocky' (Westpac May 2026); real wages growing but cost-of-living remains a concern. Tax relief delivered but broader growth weak."
Tax,Let Kiwis keep more of what they earn with tax relief of up to $100 per fortnight for an average income household and a FamilyBoost childcare tax credit of up to $150 per fortnight.,"NZ First, National",100,30/05/2024,01/07/2024,https://www.beehive.govt.nz/release/budget-delivers-promises-kiwis,,,,
Infrastructure,Build infrastructure with 13 new Roads of National Significant and four major public transport upgrades.,"NZ First, National",30,24/06/2026,08/03/2024,https://www.beehive.govt.nz/release/next-steps-roads-national-significance,100-day plan,Family First,,"Initial action: ""Begin work on a new GPS reflecting the new Roads of National Significance and new public transport priorities."" Oct 2025: NZTA Board endorsed investment cases for all RoNS; $675m+ in funding for design/consenting and $515m for property acquisition approved. Construction already underway on Takitimu North Link Stage 1, SH29 Tauriko West, and Otaki to north of Levin. Progress on 15 RoNS rather than original 13."
Law & Order,"Restore law and order by backing Police to tackle gangs, boot camps for serious young offenders, and stronger sentencing so New Zealanders can feel safe","NZ First, National",50,24/06/2026,,https://www.rnz.co.nz/news/politics/government-says-it-s-tracking-ahead-of-violent-crime-reduction-target,,,,"Gang legislation in force: 76 patches and 315 insignia seized by Feb 2025. Two Oranga Tamariki boot camps run (2024 pilot, second from Mar 2026), though 7/10 reoffended. Three Strikes restored. Government reports violent crime reduction target tracking ahead (Aug 2025); Feb 2026 figures show drop in victim numbers. Mixed outcomes on boot camps."
Education,"Lift school achievement by teaching kids an hour each of reading, writing and maths every day, banning cell phone use at school, and regular assessment and reporting to parents.","NZ First, National",100,30/04/2024,08/03/2024,https://www.nzherald.co.nz/nz/the-governments-official-school-cellphone-ban-has-started-heres-what-you-need-to-know/UBNY32DGYJHLBPHNZPSG3KQEFE/,100-day plan,Family First,,
Health,"Cut health waiting times by training more doctors, nurses, and midwives, and giving Kiwis access to 13 more cancer treatments.","NZ First, National",100,24/06/2024,,https://www.beehive.govt.nz/release/transformative-investment-cancer-treatments-and-more-new-medicines,,Family First,,
Seniors,"Support seniors by maintaining the Winter Energy Payment, increasing Super every year and boosting it with our tax relief plan, which will see a superannuitant couple get over $600 extra each year.","NZ First, National",67,24/06/2026,,https://www.rnz.co.nz/news/politics/replace-winter-energy-payment-with-solar-subsidy-researcher-says,,,,"Winter Energy Payment maintained; NZ Super indexed annually. Tax relief component ($100/fortnight, FamilyBoost) delivered (see row 3). Researchers and Greens now calling to replace WEP with solar subsidy, but WEP still in place as of June 2026."
Climate Change,Deliver Net Zero by 2050 including by doubling New Zealand’s renewable electricity and supporting new technology to reduce agricultural emissions.,"NZ First, National",33,24/06/2026,08/03/2024,https://www.beehive.govt.nz/release/our-journey-towards-net-zero,100-day plan,,,"Dec 2024: Second Emissions Reduction Plan released. Aug 2024: Electrify NZ plan with RMA reforms for renewables. Dec 2025: Planning Bill and Natural Environment Bill introduced. $2bn BlackRock fund for 100% renewable electricity. More renewable generation commissioned in past 18 months than 15 years. BUT: Government axed Clean Car Discount, weakened methane pricing, and ETS reform; ag emissions policy ambiguous."
Tax,"Tax relief will be progressed as set out in National’s Tax Plan, but will not include a repeal of the foreign buyer’s residential property ban, with income tax reductions coming into force from 1 July 2024","NZ First, National",100,01/07/2024,,,,,,
Economy,Reduce Core Crown expenditure as a proportion of the overall economy.,NZ First,100,05/12/2023,08/03/2024,Part of December 2023 mini-budget,100-day plan,,,
